step,option,action,obs,termination_prob,should_terminate,greedy_option,cumulative_reward,average_cumulative_reward,waiting_time,speed,lane_density
85.0,0,2,"0.0, 0.0, 1.0, 0.0, 1.0, 0.79253256, 0.5811906, 0.5811906, 0.52835506, 0.42268404, 0.36984855, 0.31701303, 0.6868616, 0.79253256, 0.52835506, 0.052835505, 0.36984855, 0.42268404, 0.26417753, 0.0, 0.52835506",0.000586776586715132,False,0,-13.35,-2.8001237878101164,13.870967741935484,3.6524531028882197,4.279675942233181
90.0,0,1,"0.0, 1.0, 0.0, 0.0, 0.0, 0.8453681, 0.63402605, 0.52835506, 0.5811906, 0.47551954, 0.36984855, 0.36984855, 0.6868616, 0.79253256, 0.36984855, 0.0, 0.42268404, 0.42268404, 0.15850651, 0.052835505, 0.5811906",1.5219487996265268e-13,False,0,-14.86,-3.4031175984196103,13.604166666666666,3.4173948685846014,4.491017964071856
95.0,0,2,"0.0, 1.0, 0.0, 0.0, 1.0, 0.8982036, 0.52835506, 0.63402605, 0.5811906, 0.47551954, 0.26417753, 0.36984855, 0.6868616, 0.8453681, 0.21134202, 0.15850651, 0.52835506, 0.47551954, 0.0, 0.15850651, 0.6868616",0.000253560981946066,False,0,-16.22,-4.043961718498629,14.89247311827957,2.3813436956713114,4.438182458612188
100.0,0,1,"0.0, 1.0, 0.0, 0.0, 1.0, 0.8982036, 0.47551954, 0.7396971, 0.6868616, 0.5811906, 0.21134202, 0.36984855, 0.7396971, 0.8982036, 0.052835505, 0.31701303, 0.5811906, 0.47551954, 0.0, 0.31701303, 0.6868616",0.9999996423721313,True,1,-17.86,-4.7347636325736975,16.346534653465348,3.2581212406454587,4.702359985910532
105.0,1,0,"1.0, 0.0, 0.0, 0.0, 0.0, 0.8453681, 0.47551954, 0.8453681, 0.6868616, 0.52835506, 0.21134202, 0.47551954, 0.79253256, 0.7396971, 0.052835505, 0.47551954, 0.63402605, 0.36984855, 0.052835505, 0.36984855, 0.6868616",0.0,False,1,-19.56,-5.476025450945012,14.922330097087379,2.531146780371432,4.8608665022895385
110.0,1,0,"1.0, 0.0, 0.0, 0.0, 1.0, 0.79253256, 0.47551954, 0.9510391, 0.79253256, 0.36984855, 0.21134202, 0.5811906, 0.8453681, 0.47551954, 0.15850651, 0.63402605, 0.6868616, 0.15850651, 0.15850651, 0.36984855, 0.79253256",1.0,True,0,-19.39,-6.171724178397761,12.971428571428572,2.413487320705467,5.019373018668546
115.0,0,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.79253256, 0.52835506, 0.9510391, 0.8982036, 0.36984855, 0.21134202, 0.63402605, 0.8982036, 0.42268404, 0.36984855, 0.79253256, 0.7396971, 0.052835505, 0.21134202, 0.31701303, 0.8453681",0.9992167949676514,True,1,-21.57,-6.941637969477872,12.054545454545455,2.0662507788025657,5.28355054596689
120.0,1,3,"0.0, 0.0, 1.0, 0.0, 1.0, 0.79253256, 0.5811906, 0.8453681, 1.0, 0.36984855, 0.21134202, 0.63402605, 0.9510391, 0.26417753, 0.47551954, 0.5811906, 0.8453681, 0.21134202, 0.21134202, 0.21134202, 0.8982036",1.0,True,0,-24.17,-7.8030560710039785,11.675675675675675,1.9587479745215979,5.385346953152519
125.0,0,1,"0.0, 1.0, 0.0, 0.0, 0.0, 0.79253256, 0.5811906, 0.79253256, 1.0, 0.36984855, 0.15850651, 0.6868616, 1.0, 0.36984855, 0.42268404, 0.42268404, 1.0, 0.36984855, 0.052835505, 0.21134202, 1.0",1.0,True,1,-26.89,-8.757403267453778,13.072072072072071,1.736394057220088,5.38147234941881
130.0,1,2,"0.0, 1.0, 0.0, 0.0, 1.0, 0.8982036, 0.47551954, 0.79253256, 1.0, 0.36984855, 0.10567101, 0.7396971, 1.0, 0.47551954, 0.21134202, 0.31701303, 1.0, 0.36984855, 0.0, 0.26417753, 1.0",1.0,True,0,-29.36,-9.787533104081088,14.908256880733944,1.601185399826424,5.38147234941881
135.0,0,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.9510391, 0.42268404, 0.7396971, 1.0, 0.36984855, 0.10567101, 0.7396971, 1.0, 0.6868616, 0.052835505, 0.15850651, 1.0, 0.36984855, 0.0, 0.31701303, 1.0",0.9999998807907104,True,1,-31.78,-10.887156448877034,16.756756756756758,1.9211777588208925,5.328636843959141
140.0,1,3,"0.0, 0.0, 1.0, 0.0, 1.0, 0.9510391, 0.42268404, 0.7396971, 1.0, 0.36984855, 0.10567101, 0.7396971, 1.0, 0.8453681, 0.15850651, 0.15850651, 1.0, 0.36984855, 0.052835505, 0.15850651, 1.0",1.0,True,0,-34.13,-12.049298626433183,19.36036036036036,1.8787290965467789,5.328636843959141
