step,option,obs,termination_prob,should_terminate,greedy_option,cumulative_reward,average_cumulative_reward,waiting_time,speed,lane_density
5.0,0,"1.0, 0.0, 0.0, 0.05048805, 0.05048805, 0.052835505, 0.052835505, 0.0, 0.0, 0.0, 0.0",0.5,False,0,0.0,0.0,0.0,13.480769900779602,0.20664711324178814
10.0,0,"1.0, 0.0, 1.0, 0.05048805, 0.05048805, 0.10567101, 0.052835505, 0.0, 0.0, 0.0, 0.0",0.5,False,0,0.0,0.0,0.0,13.90260157074383,0.25948261870145706
15.0,0,"1.0, 0.0, 1.0, 0.0, 0.0, 0.10567101, 0.10567101, 0.0, 0.0, 0.0, 0.0",0.5,False,0,0.0,0.0,0.0,11.31432934644112,0.2113420218386756
20.0,0,"0.0, 1.0, 0.0, 0.05048805, 0.0, 0.10567101, 0.052835505, 0.0, 0.0, 0.0, 0.0",0.5,False,0,0.0,0.0,0.0,10.431071134405236,0.20899456754023185
25.0,0,"0.0, 1.0, 1.0, 0.05048805, 0.0, 0.052835505, 0.052835505, 0.0, 0.0, 0.0, 0.0",0.5000000596046448,False,0,0.0,0.0,0.0,12.901782282988915,0.15615906208056296
30.0,0,"0.0, 1.0, 1.0, 0.05048805, 0.0, 0.052835505, 0.10567101, 0.0, 0.0, 0.0, 0.0",0.5,False,0,0.0,0.0,0.0,12.116239566517114,0.20899456754023188
35.0,0,"0.0, 1.0, 1.0, 0.05048805, 0.0, 0.15850651, 0.10567101, 0.05048805, 0.0, 0.0, 0.0",0.5,False,0,-0.04,-0.002,0.5,11.176594657488511,0.31466557845956966
40.0,0,"1.0, 0.0, 0.0, 0.05048805, 0.05048805, 0.15850651, 0.15850651, 0.0, 0.0, 0.0, 0.0",0.5,False,0,0.0,-0.0019,0.0,9.218639580906805,0.41798913508046376
45.0,0,"1.0, 0.0, 1.0, 0.05048805, 0.1009761, 0.21134202, 0.15850651, 0.0, 0.0, 0.10567101, 0.10567101",0.5,False,0,-0.12,-0.007805,1.0,7.867593024659521,0.5213126917013577
50.0,0,"0.0, 1.0, 0.0, 0.1009761, 0.15146415, 0.15850651, 0.15850651, 0.0, 0.05048805, 0.0, 0.0",0.5000000596046448,False,0,-0.11,-0.012914750000000001,0.07142857142857142,7.218200735756571,0.5694532885641392
