episode,cumulative_reward,average_cumulative_reward,mean_waiting_time,mean_speed,mean_lane_density
23,-42.1,-28.836360593868402,7.944795865331841,4.446298181099798,2.196683269135654
24,-47.94,-38.43164225496407,7.338240831156294,4.218470099355031,2.222889933358878
25,-14.92,-22.2213227617951,11.196550561507335,4.699092802884107,2.2053534157425165
26,-15.18,-20.312424353010286,6.686037707240571,4.530272187828121,2.167002689447254
27,-3.97,-11.578579824604699,7.372841226521316,4.380449953858541,2.196800737772137
28,-26.35,-17.392492790348456,7.635076154029173,4.3692903854525085,2.2086455720439555
29,-20.39,-16.08113080852879,8.63802922149616,4.132462523910911,2.332476607494056
30,-22.6,-25.17924237618219,9.62866055966074,4.67851125470634,2.1571999320834876
31,-6.2,-17.044067682985773,5.764393099620009,4.757137841291844,2.1394506870768963
32,-12.95,-15.043243687530197,5.902478001086736,4.876782427100621,2.101924939017743
33,-15.31,-20.02948780843086,6.28399594531512,4.405161729146044,2.1877923218756914
34,-17.729999999999997,-11.253878429622503,7.177736727030047,4.476323737379591,2.230292156472802
35,-30.77,-19.322537546881566,8.058828061929608,4.262098218056975,2.2292709501050414
36,-14.43,-6.5541563001683665,9.94077502817335,4.676017207314411,2.178913495223969
37,-6.96,-14.5898815401268,6.795990202810702,4.696118148892824,2.1328256462849677
38,-10.92,-20.66417532623749,10.502593960755114,3.915343516140013,2.3881945470273496
39,-7.12,-13.012835545574875,10.177857813493477,4.248642894645983,2.253000335033983
40,-4.990000000000004,-5.832399704468865,9.526044483589306,3.9530090428388487,2.34190508005023
41,-9.71,-16.98939056739613,5.802625395218318,4.912038979321977,2.109662737943232
42,-8.98,-9.316482557543353,7.065874462142099,4.746948534150254,2.13119185256958
43,-36.95,-19.484527079302712,6.692558025461592,4.142293791727543,2.2726203272491694
44,-32.22,-24.725300577084543,6.074768758979175,4.8475834740389745,2.1239491736255585
45,-17.33,-14.33998607052968,7.07144823383982,4.516465598109357,2.1734537171944974
46,-13.47,-15.025674584799939,7.221632162550542,4.714565706789425,2.1331383346915245
47,-22.39,-23.77875250907605,10.61469846444403,4.176965115621922,2.278690674956888
48,-5.24,-11.8295472873506,7.133788855235886,4.849913001769095,2.1328239630907775
49,-23.73,-19.469290950275767,11.172609165241495,4.252430413946073,2.2739175350405274
50,-19.32,-21.442093019377904,8.6717211249253,4.406908640820995,2.2064015471227467
51,-11.78,-12.983034443300106,6.743583231232257,4.53123441001094,2.1599017133489253
52,-32.53,-31.008338878961403,7.03258045542272,4.514878011207033,2.164715919367969
53,-19.36,-14.958227271982704,7.371951005090538,4.098276873109393,2.3057536170221864
54,-10.31,-11.82144952525148,8.74997654862332,4.416530426800492,2.1983786588534713
55,-32.35,-31.205738135549062,7.904652665535636,3.789878482229471,2.3795789286717772
56,-17.35,-9.316005193128705,7.95204760709618,4.430621565939203,2.2042389746569095
57,-15.09,-15.3637079909665,8.064965162101581,4.632888177097296,2.174287443321198
58,-18.1,-12.65976269867774,8.33281570284137,4.534147445161742,2.1847761680185793
59,-20.46,-12.104683865968362,6.116735215972192,4.732999553316777,2.124121842999011
60,-31.5,-19.942372775036667,7.1327587986773064,4.851566577058695,2.136686971951276
61,-2.79,-7.434467745018224,7.3451555217741005,4.334163116229723,2.20009188567847
62,-7.76,-4.930201779352301,7.228864846433518,4.708497653809988,2.1283352372795346
63,-4.74,-7.898906125761435,6.63826812238311,4.582387193618793,2.179723997335881
64,-16.55,-11.396027854013798,6.598206719255577,4.5228041045663545,2.160356107044965
65,-1.48,-10.170906244323199,7.32546229781526,3.7989944655579837,2.3500821237377822
66,-5.84,-12.66138665604201,9.832504619611504,4.016119426667977,2.3181396797150375
67,-11.51,-13.044588593669891,6.951975855945335,4.035683446355648,2.2702002653442324
68,-11.32,-15.381106529001677,9.04383779420416,4.308749370643344,2.2250996283032
69,-15.65,-21.0032577221128,7.0965470740020935,4.6608173587132695,2.1163305262848735
70,-25.62,-28.493540295011382,9.423093993753158,4.108966216953829,2.308905080605298
71,-40.57,-29.39126577457181,6.5902132929924795,4.512361552560826,2.1876671128831804
72,-11.52,-19.664918151246955,6.406558852076085,4.269458971229309,2.2169256098270416
73,-28.72,-14.603645909674361,10.209099029978388,4.410750402166097,2.2242679229080675
74,-50.31,-51.307133341565304,7.979203637944139,4.6159132201690305,2.158481655854732
75,-13.06,-13.728890499749495,9.027970812287982,4.515478497530376,2.1882598435655236
