step,option,action,obs,termination_prob,should_terminate,greedy_option,cumulative_reward,average_cumulative_reward,waiting_time,speed,lane_density
75.0,1,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.5811906, 0.5811906, 0.26417753, 0.47551954, 0.5811906, 0.42268404, 0.79253256, 0.63402605, 0.52835506, 0.52835506, 0.0, 0.0, 0.52835506, 0.42268404, 0.10567101, 0.26417753",1.0,True,0,-12.56,-2.5543068560928943,12.831460674157304,3.011954647298943,4.33251144769285
80.0,0,2,"0.0, 0.0, 0.0, 1.0, 1.0, 0.5811906, 0.5811906, 0.42268404, 0.52835506, 0.6868616, 0.52835506, 0.8453681, 0.5811906, 0.52835506, 0.52835506, 0.052835505, 0.0, 0.52835506, 0.42268404, 0.21134202, 0.15850651",1.0,True,1,-14.35,-3.1440915132882497,13.793814432989691,3.2226774291358664,4.755195491370201
85.0,1,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.63402605, 0.5811906, 0.47551954, 0.5811906, 0.6868616, 0.52835506, 0.79253256, 0.6868616, 0.5811906, 0.5811906, 0.0, 0.10567101, 0.5811906, 0.42268404, 0.31701303, 0.15850651",1.0,True,1,-16.66,-3.819886937623837,15.176470588235293,2.6305492013077947,4.966537513208877
90.0,1,3,"0.0, 0.0, 1.0, 0.0, 1.0, 0.63402605, 0.63402605, 0.36984855, 0.63402605, 0.6868616, 0.52835506, 0.79253256, 0.7396971, 0.5811906, 0.5811906, 0.0, 0.26417753, 0.6868616, 0.52835506, 0.15850651, 0.26417753",1.0,True,1,-19.06,-4.581892590742645,17.388349514563107,2.072507430312376,5.019373018668546
95.0,1,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.63402605, 0.63402605, 0.36984855, 0.5811906, 0.79253256, 0.5811906, 0.79253256, 0.79253256, 0.63402605, 0.63402605, 0.052835505, 0.26417753, 0.6868616, 0.52835506, 0.26417753, 0.31701303",1.0,True,0,-21.83,-5.444297961205512,19.10377358490566,1.6634064529722896,5.177879535047552
100.0,0,2,"0.0, 0.0, 0.0, 1.0, 1.0, 0.63402605, 0.63402605, 0.52835506, 0.5811906, 0.79253256, 0.63402605, 0.8453681, 0.7396971, 0.63402605, 0.63402605, 0.21134202, 0.15850651, 0.7396971, 0.52835506, 0.42268404, 0.26417753",1.0,True,1,-24.58,-6.4010830631452365,20.45045045045045,2.0492570219761292,5.389221556886228
105.0,1,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.63402605, 0.6868616, 0.52835506, 0.63402605, 0.8982036, 0.6868616, 0.79253256, 0.8453681, 0.63402605, 0.63402605, 0.15850651, 0.10567101, 0.79253256, 0.63402605, 0.21134202, 0.21134202",1.0,True,1,-27.55,-7.458528909987975,21.54310344827586,2.0239490444921064,5.706234589644241
110.0,1,3,"0.0, 0.0, 1.0, 0.0, 1.0, 0.6868616, 0.6868616, 0.47551954, 0.7396971, 0.8982036, 0.6868616, 0.6868616, 0.8453681, 0.63402605, 0.6868616, 0.052835505, 0.26417753, 0.8453681, 0.6868616, 0.10567101, 0.26417753",1.0,True,1,-30.11,-8.591102464488577,23.504273504273506,1.9102683500844717,5.706234589644241
115.0,1,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.6868616, 0.7396971, 0.5811906, 0.79253256, 0.8982036, 0.7396971, 0.7396971, 0.79253256, 0.63402605, 0.6868616, 0.0, 0.21134202, 0.8982036, 0.6868616, 0.10567101, 0.15850651",1.0,True,0,-33.0,-9.811547341264149,24.5609756097561,2.0888961900302183,5.970412116942586
120.0,0,2,"0.0, 0.0, 0.0, 1.0, 1.0, 0.6868616, 0.79253256, 0.6868616, 0.7396971, 0.9510391, 0.8453681, 0.79253256, 0.7396971, 0.6868616, 0.7396971, 0.15850651, 0.15850651, 0.8982036, 0.7396971, 0.21134202, 0.10567101",1.0,True,1,-35.78,-11.10996997420094,25.8359375,2.1210297799033255,6.2345896442409305
125.0,1,3,"0.0, 0.0, 0.0, 1.0, 1.0, 0.6868616, 0.79253256, 0.6868616, 0.63402605, 0.9510391, 0.8453681, 0.79253256, 0.5811906, 0.6868616, 0.7396971, 0.31701303, 0.052835505, 0.9510391, 0.79253256, 0.31701303, 0.052835505",1.0,True,1,-38.63,-12.485971475490892,29.176,1.915116998068346,5.970412116942585
130.0,1,3,"0.0, 0.0, 0.0, 1.0, 1.0, 0.7396971, 0.79253256, 0.7396971, 0.5811906, 1.0, 0.8982036, 0.8982036, 0.52835506, 0.6868616, 0.79253256, 0.47551954, 0.052835505, 0.9510391, 0.8453681, 0.52835506, 0.0",1.0,True,1,-42.25,-13.974172901716347,31.302325581395348,2.2344879799057646,6.177879535047552
135.0,1,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.7396971, 0.79253256, 0.79253256, 0.52835506, 1.0, 0.8982036, 0.8982036, 0.5811906, 0.7396971, 0.79253256, 0.52835506, 0.052835505, 1.0, 0.8982036, 0.5811906, 0.052835505",1.0,True,1,-45.92,-15.57146425663053,33.82170542635659,1.9830825886148553,6.230715040507222
140.0,1,3,"0.0, 0.0, 1.0, 0.0, 1.0, 0.79253256, 0.79253256, 0.7396971, 0.63402605, 1.0, 0.9510391, 0.8453681, 0.63402605, 0.7396971, 0.79253256, 0.36984855, 0.21134202, 1.0, 0.8982036, 0.47551954, 0.26417753",1.0,True,1,-49.33,-17.259391043799006,35.57251908396947,1.9004824878444169,6.389221556886228
145.0,1,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.8453681, 0.79253256, 0.79253256, 0.63402605, 1.0, 0.9510391, 0.79253256, 0.6868616, 0.79253256, 0.79253256, 0.36984855, 0.15850651, 1.0, 0.9510391, 0.36984855, 0.15850651",1.0,True,0,-53.22,-19.057421491609055,37.83206106870229,1.6272380442509706,6.494892567805565
150.0,0,2,"0.0, 0.0, 0.0, 1.0, 1.0, 0.8453681, 0.8453681, 0.8453681, 0.6868616, 1.0, 1.0, 0.79253256, 0.63402605, 0.8453681, 0.79253256, 0.42268404, 0.10567101, 1.0, 1.0, 0.31701303, 0.21134202",1.0,True,1,-57.05,-20.9570504170286,39.343283582089555,1.5796367267612987,6.649524480450863
155.0,1,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.8982036, 0.9510391, 0.79253256, 0.7396971, 1.0, 1.0, 0.7396971, 0.7396971, 0.8453681, 0.8453681, 0.26417753, 0.052835505, 1.0, 1.0, 0.21134202, 0.15850651",1.0,True,1,-60.59,-22.938697896177167,40.16546762589928,1.5247536050808237,6.860866502289539
160.0,1,3,"0.0, 0.0, 1.0, 0.0, 1.0, 0.8982036, 0.9510391, 0.79253256, 0.79253256, 1.0, 1.0, 0.7396971, 0.7396971, 0.8982036, 0.9510391, 0.15850651, 0.15850651, 1.0, 1.0, 0.10567101, 0.21134202",1.0,True,1,-63.81,-24.98226300136831,42.47142857142857,1.494592996126718,6.913702007749208
165.0,1,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.8982036, 1.0, 0.7396971, 0.7396971, 1.0, 1.0, 0.79253256, 0.7396971, 0.8982036, 0.9510391, 0.052835505, 0.15850651, 1.0, 1.0, 0.21134202, 0.26417753",1.0,True,0,-67.52,-27.109149851299893,45.01428571428571,1.3797300837938078,6.909827404015499
170.0,0,0,"0.0, 0.0, 0.0, 1.0, 1.0, 0.9510391, 1.0, 0.79253256, 0.7396971, 1.0, 1.0, 0.8453681, 0.79253256, 0.8982036, 1.0, 0.15850651, 0.10567101, 1.0, 1.0, 0.31701303, 0.15850651",1.0,True,1,-71.29,-29.318192358734898,46.06206896551724,1.4639638019965777,7.121169425854174
175.0,1,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.9510391, 1.0, 0.7396971, 0.79253256, 1.0, 1.0, 0.79253256, 0.79253256, 0.9510391, 1.0, 0.15850651, 0.10567101, 1.0, 1.0, 0.26417753, 0.26417753",1.0,True,1,-75.09,-31.606782740798153,49.66197183098591,1.214122081831508,7.0683339203945055
180.0,1,3,"0.0, 0.0, 1.0, 0.0, 1.0, 0.9510391, 1.0, 0.7396971, 0.8453681, 1.0, 1.0, 0.7396971, 0.8453681, 0.9510391, 1.0, 0.10567101, 0.26417753, 1.0, 1.0, 0.15850651, 0.31701303",1.0,True,1,-78.5,-33.95144360375824,51.310344827586206,1.433098719334268,7.121169425854174
185.0,1,3,"0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.79253256, 0.79253256, 1.0, 1.0, 0.79253256, 0.79253256, 1.0, 1.0, 0.10567101, 0.26417753, 1.0, 1.0, 0.10567101, 0.26417753",1.0,True,0,-82.59,-36.38337142357033,54.236111111111114,1.2513260169590834,7.170130327580134
190.0,0,0,"0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.8453681, 0.79253256, 1.0, 1.0, 0.8453681, 0.79253256, 1.0, 1.0, 0.21134202, 0.21134202, 1.0, 1.0, 0.26417753, 0.15850651",1.0,True,1,-86.42,-38.885202852391814,56.13013698630137,1.348393974199095,7.2758013384994715
195.0,1,2,"0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.79253256, 0.79253256, 1.0, 1.0, 0.79253256, 0.7396971, 1.0, 1.0, 0.26417753, 0.26417753, 1.0, 1.0, 0.21134202, 0.10567101",1.0,True,1,-90.22,-41.451942709772226,59.541666666666664,1.3022003016654036,7.117294822120465
200.0,1,3,"0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.7396971, 0.8453681, 1.0, 1.0, 0.79253256, 0.79253256, 1.0, 1.0, 0.15850651, 0.31701303, 1.0, 1.0, 0.15850651, 0.21134202",1.0,True,1,-93.76,-44.067345574283614,61.363013698630134,1.4890111858979092,7.170130327580134
205.0,1,3,"0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.79253256, 0.79253256, 1.0, 1.0, 0.7396971, 0.7396971, 1.0, 1.0, 0.21134202, 0.26417753, 1.0, 1.0, 0.15850651, 0.15850651",1.0,True,0,-97.62,-46.74497829556943,65.25174825174825,1.445526759382173,7.0644593166607965
210.0,0,0,"0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.8453681, 0.79253256, 1.0, 1.0, 0.79253256, 0.7396971, 1.0, 1.0, 0.26417753, 0.21134202, 1.0, 1.0, 0.26417753, 0.052835505",1.0,True,1,-101.38,-49.476729380790964,67.94405594405595,1.2507217722481343,7.170130327580134
