step,cumulative_reward,average_cumulative_reward,mean_waiting_time,mean_speed,queue_length
5.0,0.0,0.0,0.0,13.881093609535808,0.0
10.0,0.0,0.0,0.0,27.35789247546802,1.0
15.0,0.0,0.0,0.0,39.69765748415631,0.050488051027059555
20.0,0.0,0.0,0.0,53.0824169616732,1.100976102054119
25.0,0.0,0.0,0.0,65.39472949841712,1.1514641530811787
30.0,-0.05,-0.0025000000000000005,0.45454545454545453,78.21247250223519,1.2019522041082382
35.0,0.0,-0.0023750000000000004,0.45454545454545453,88.85653775124678,0.15146415308117867
40.0,-0.06,-0.0052562500000000005,0.8831168831168831,99.2968261585369,1.100976102054119
45.0,-0.04,-0.0069934375000000005,0.9664502164502164,107.7543579918655,0.10097610205411911
50.0,-0.06,-0.009643765625,1.5119047619047619,118.77115704919271,1.1514641530811787
55.0,-0.14,-0.01616157734375,2.3354341736694675,130.60902569407182,1.3029282987117767
60.0,-0.26,-0.028353498476562503,4.192577030812325,140.81474303481127,1.3029282987117767
65.0,-0.06,-0.029935823552734376,4.264005602240896,148.1531154785003,0.20195220410823822
70.0,-0.13,-0.034939032375097656,5.192577030812325,157.5677774762516,1.0
75.0,-0.08,-0.03719208075634277,5.192577030812325,166.63057545709444,0.10097610205411911
80.0,0.0,-0.03533247671852563,5.192577030812325,178.3629369286295,1.100976102054119
85.0,-0.04,-0.03556585288259935,5.459243697478992,189.63432191490787,0.050488051027059555
90.0,-0.17,-0.04228756023846938,7.004698242933538,197.88580459771222,1.100976102054119
95.0,-0.12,-0.04617318222654591,7.004698242933538,205.10049615114718,0.20195220410823822
100.0,-0.020000000000000004,-0.04486452311521861,7.171364909600205,214.81884773987053,1.3029282987117767
105.0,-3.469446951953614e-18,-0.042621296959457676,7.171364909600205,225.02984544972173,0.2524402514100075
110.0,-3.469446951953614e-18,-0.04049023211148479,7.171364909600205,237.0744453428889,1.2524402514100075
115.0,-0.06,-0.04146572050591055,7.504698242933538,248.0142223089082,1.2019522041082382
120.0,-0.010000000000000002,-0.03989243448061502,7.563521772345302,256.8677814756599,0.2524402514100075
125.0,-0.12,-0.04389781275658426,8.163521772345302,267.50705670603224,1.3534163534641266
130.0,-0.3,-0.05670292211875504,9.467869598432259,278.2919956397432,1.4039044082164764
135.0,-0.19,-0.06336777601281729,9.467869598432259,286.4315540681125,0.3534163534641266
140.0,-0.14,-0.06719938721217643,10.167869598432258,294.7073208605036,1.1514641530811787
145.0,-0.15,-0.07133941785156761,10.167869598432258,304.0118455245263,0.10097610205411911
150.0,-0.01999999999999999,-0.06877244695898922,10.292869598432258,314.1361682053905,1.1514641530811787
155.0,-0.10999999999999999,-0.07083382461103976,11.078583884146544,324.64628875374797,1.1514641530811787
160.0,-0.009999999999999981,-0.06779213338048777,11.169492975055636,333.3287851972974,0.050488051027059555
165.0,-0.10999999999999999,-0.06990252671146338,12.544492975055636,341.086898614326,1.0
170.0,-0.04999999999999999,-0.06890740037589022,12.544492975055636,350.527677719646,0.050488051027059555
175.0,1.3877787807814457e-17,-0.0654620303570957,12.544492975055636,362.7808314354613,1.100976102054119
180.0,1.3877787807814457e-17,-0.06218892883924092,12.544492975055636,374.9132397303051,1.2019522041082382
185.0,1.3877787807814457e-17,-0.05907948239727887,12.544492975055636,385.16796420300244,0.15146415308117867
190.0,-0.11999999999999998,-0.06212550827741493,13.294492975055636,393.7371091069165,1.2524402514100075
195.0,-0.18,-0.06801923286354418,13.342112022674684,402.4331915378917,0.3534163534641266
200.0,-0.11,-0.07011827122036697,13.796657477220139,412.14220658562283,1.3534163534641266
205.0,-0.26,-0.07961235765934861,14.927092259828834,420.5911902053289,1.3534163534641266
210.0,-0.21,-0.08613173977638117,15.069949402685976,428.7834452907946,0.2524402514100075
215.0,-0.1,-0.08682515278756212,15.514393847130421,438.28032018608565,1.100976102054119
220.0,-0.11,-0.08798389514818401,15.71439384713042,447.86449057047093,0.10097610205411911
225.0,-0.05,-0.08608470039077482,16.329778462515037,459.1425030487091,1.1514641530811787
230.0,-0.02,-0.08278046537123607,16.46311179584837,470.4646435216047,0.15146415308117867
235.0,-0.08,-0.08264144210267427,17.129778462515038,480.52471874175296,1.100976102054119
240.0,0.0,-0.07850936999754055,17.129778462515038,489.4122392596502,0.15146415308117867
245.0,-0.05,-0.07708390149766352,17.546445129181706,500.95444380791633,1.2019522041082382
250.0,0.0,-0.07322970642278034,17.546445129181706,512.0111860263712,0.10097610205411911
255.0,-0.06,-0.07256822110164132,18.007983590720166,522.2831074987018,1.0
260.0,-0.020000000000000004,-0.06993981004655925,18.007983590720166,531.7380660810481,0.050488051027059555
265.0,-3.469446951953614e-18,-0.06644281954423129,18.007983590720166,543.1363742273709,1.100976102054119
270.0,-3.469446951953614e-18,-0.06312067856701972,18.007983590720166,555.7581866012677,0.050488051027059555
275.0,-3.469446951953614e-18,-0.05996464463866873,18.007983590720166,568.7481292022286,1.0
280.0,-3.469446951953614e-18,-0.05696641240673529,18.007983590720166,581.3725432893193,0.050488051027059555
285.0,-3.469446951953614e-18,-0.05411809178639852,18.007983590720166,594.7216485411392,1.1514641530811787
290.0,-3.469446951953614e-18,-0.051412187197078595,18.007983590720166,606.3601568177138,1.1514641530811787
295.0,-0.030000000000000002,-0.05034157783722466,18.257983590720166,616.132275964167,0.050488051027059555
300.0,-0.15,-0.055324498945363426,19.757983590720166,623.7398931514032,1.100976102054119
305.0,-0.1,-0.05755827399809525,19.757983590720166,634.0189835000218,0.050488051027059555
310.0,0.0,-0.05468036029819049,19.757983590720166,647.326223971298,1.0504880510270596
