episode,cumulative_reward,average_cumulative_reward,mean_lane_density,mean_queue_length,avg_travel_time,avg_time_loss,avg_waiting_time,collisions,emergency_stops,emergency_braking
71,-650.0,-582.982231879744,0.34554420570623456,2.18,34.296551724137935,12.55,7.51,0.0,0.0,0.0
72,-650.0,-582.982231879744,0.34554420570623456,2.18,34.296551724137935,12.55,7.51,0.0,0.0,0.0
73,-650.0,-582.982231879744,0.34554420570623456,2.18,34.296551724137935,12.55,7.51,0.0,0.0,0.0
74,-757.0,-700.8490306505363,0.4057766819302572,2.58,35.25,13.42,7.77,0.0,0.0,0.0
75,-757.0,-700.8490306505363,0.4057766819302572,2.58,35.25,13.42,7.77,0.0,0.0,0.0
76,-648.0,-596.5795394198265,0.3452800281789362,2.305,35.28767123287671,13.52,8.09,0.0,0.0,0.0
77,-648.0,-596.5795394198265,0.3452800281789362,2.305,35.28767123287671,13.52,8.09,0.0,0.0,0.0
78,-648.0,-596.5795394198265,0.3452800281789362,2.305,35.28767123287671,13.52,8.09,0.0,0.0,0.0
79,-739.0,-694.6832974461179,0.3933603381472349,2.545,35.21084337349398,13.51,7.81,0.0,0.0,0.0
80,-739.0,-694.6832974461179,0.3933603381472349,2.545,35.21084337349398,13.51,7.81,0.0,0.0,0.0
81,-739.0,-694.6832974461179,0.3933603381472349,2.545,35.21084337349398,13.51,7.81,0.0,0.0,0.0
82,-684.0,-601.9570176324049,0.3561113067981684,2.245,34.37,12.86,7.44,0.0,0.0,0.0
83,-684.0,-601.9570176324049,0.3561113067981684,2.245,34.37,12.86,7.44,0.0,0.0,0.0
84,-684.0,-601.9570176324049,0.3561113067981684,2.245,34.37,12.86,7.44,0.0,0.0,0.0
85,-780.0,-676.7574021222296,0.3946812257837267,2.695,35.34076433121019,13.7,8.1,0.0,0.0,0.0
86,-780.0,-676.7574021222296,0.3946812257837267,2.695,35.34076433121019,13.7,8.1,0.0,0.0,0.0
87,-775.0,-674.8059080080915,0.39758717858400844,2.505,35.21183800623053,13.29,7.58,0.0,0.0,0.0
88,-775.0,-674.8059080080915,0.39758717858400844,2.505,35.21183800623053,13.29,7.58,0.0,0.0,0.0
89,-775.0,-674.8059080080915,0.39758717858400844,2.505,35.21183800623053,13.29,7.58,0.0,0.0,0.0
90,-602.0,-543.4045847692408,0.3381472349418809,2.105,33.77,12.07,6.95,0.0,0.0,0.0
91,-602.0,-543.4045847692408,0.3381472349418809,2.105,33.77,12.07,6.95,0.0,0.0,0.0
92,-602.0,-543.4045847692408,0.3381472349418809,2.105,33.77,12.07,6.95,0.0,0.0,0.0
93,-748.0,-684.6165934384807,0.379623106727721,2.725,36.271523178807946,14.6,9.12,0.0,0.0,0.0
94,-748.0,-684.6165934384807,0.379623106727721,2.725,36.271523178807946,14.6,9.12,0.0,0.0,0.0
95,-748.0,-684.6165934384807,0.379623106727721,2.725,36.271523178807946,14.6,9.12,0.0,0.0,0.0
96,-692.0,-622.5397636853011,0.369584360690384,2.29,34.80194805194805,13.25,7.46,0.0,0.0,0.0
97,-692.0,-622.5397636853011,0.369584360690384,2.29,34.80194805194805,13.25,7.46,0.0,0.0,0.0
98,-788.0,-694.0554531126635,0.40313490665727364,2.74,35.484662576687114,13.82,8.31,0.0,0.0,0.0
99,-788.0,-694.0554531126635,0.40313490665727364,2.74,35.484662576687114,13.82,8.31,0.0,0.0,0.0
