episode,cumulative_reward,average_cumulative_reward,mean_lane_density,mean_queue_length,avg_travel_time,avg_time_loss,avg_waiting_time,collisions,emergency_stops,emergency_braking
16,-60423.0,-59183.633503126555,3.4769764001408947,44.023,147.1184320266889,125.49,89.71,0.0,0.0,0.0
17,-59632.0,-58368.578829175596,3.4407108136667843,43.28,144.55051546391752,122.83,87.54,0.0,0.0,0.0
18,-59430.0,-58209.11937545153,3.4256178231771757,43.107,145.89093959731542,124.23,88.45,0.0,0.0,0.0
19,-58736.0,-57541.01664888263,3.3910017611835155,42.652,142.73977695167287,121.06,86.31,0.0,0.0,0.0
20,-59591.0,-58348.34364075915,3.43082529059528,43.348,147.6704834605598,126.03,90.04,0.0,0.0,0.0
21,-58394.0,-57197.30301722344,3.3672708700246567,42.53,144.8764282691494,123.2,88.09,0.0,0.0,0.0
22,-58466.0,-57221.431875911505,3.3695438534695312,42.533,144.74343776460626,123.1,87.88,0.0,0.0,0.0
23,-58098.0,-56844.348069240754,3.3543522367030647,42.188,143.42016806722688,121.71,86.92,0.0,0.0,0.0
24,-57374.0,-56124.898392278505,3.3191264529764,41.509,139.49793217535154,117.81,83.66,0.0,0.0,0.0
25,-57625.0,-56363.671766176965,3.3224793941528707,41.887,144.99052540913007,123.33,88.0,0.0,0.0,0.0
26,-59848.0,-58654.53907632431,3.4500443818245863,43.531,146.14077467721782,124.49,88.94,0.0,0.0,0.0
27,-57547.0,-56371.40531833917,3.3225258893976757,41.925,142.64795272266778,121.0,86.46,0.0,0.0,0.0
28,-58937.0,-57730.04494215704,3.3990162028883413,42.874,144.0232654756959,122.4,87.6,0.0,0.0,0.0
29,-60266.0,-59008.60672026583,3.47133215921099,43.635,146.04439834024896,124.44,88.48,0.0,0.0,0.0
30,-56579.0,-55358.83754828505,3.2658231771750614,40.959,142.92552733534222,121.27,86.17,0.0,0.0,0.0
31,-56357.0,-55149.31992974678,3.2581799929552657,40.976,141.27787234042555,119.6,85.3,0.0,0.0,0.0
32,-59669.0,-58469.15593883502,3.4410123282846072,43.346,144.57685950413224,122.93,87.73,0.0,0.0,0.0
33,-60995.0,-59752.53840112068,3.508877421627333,44.471,148.09929372663066,126.4,90.46,0.0,0.0,0.0
34,-59468.0,-58270.24300231468,3.4232606551602673,43.264,147.04355179704018,125.32,89.55,0.0,0.0,0.0
35,-56424.0,-55163.652709865884,3.2599288481859814,41.012,141.9713675213675,120.3,85.98,0.0,0.0,0.0
36,-57874.0,-56645.951578207794,3.3351676646706587,41.979,144.94006849315068,123.28,87.86,0.0,0.0,0.0
37,-57984.0,-56775.97084273007,3.3463198309263826,42.135,143.8588334742181,122.17,87.14,0.0,0.0,0.0
38,-57450.0,-56212.04546430675,3.3214498062698135,41.585,141.44309623430962,119.78,85.03,0.0,0.0,0.0
39,-58178.0,-56957.30744255803,3.362312081718915,42.257,141.54466501240694,119.87,85.53,0.0,0.0,0.0
40,-58285.0,-57050.56249575659,3.3647182106375486,42.275,143.1892797319933,121.51,86.46,0.0,0.0,0.0
41,-59424.0,-58213.32789066267,3.422087002465657,43.245,146.45381695487137,124.77,89.23,0.0,0.0,0.0
42,-57907.0,-56698.5136454816,3.3479256780556534,42.028,141.76632016632016,120.09,85.46,0.0,0.0,0.0
43,-58308.0,-57050.6255787498,3.36397816132441,42.422,143.13562159899539,121.53,87.03,0.0,0.0,0.0
44,-58497.0,-57280.109419131506,3.380577668193026,42.712,142.18703550784477,120.52,86.29,0.0,0.0,0.0
45,-57882.0,-56677.93541949145,3.3416688974991198,41.864,143.2456805731142,121.58,86.43,0.0,0.0,0.0
46,-59066.0,-57837.92721997274,3.406905248326876,42.971,144.05449251247921,122.36,87.38,0.0,0.0,0.0
47,-57293.0,-56045.34893408761,3.3114431137724556,41.467,141.107202680067,119.47,84.85,0.0,0.0,0.0
48,-62658.0,-61432.99993460334,3.6001458259950687,45.513,150.2477366255144,128.62,91.72,0.0,0.0,0.0
49,-57158.0,-55926.429989228665,3.2985026417752734,41.562,142.92192832764505,121.34,86.51,0.0,0.0,0.0
50,-57628.0,-56421.37286568111,3.3234783374427614,41.841,144.55907534246575,122.88,87.58,0.0,0.0,0.0
51,-57597.0,-56371.17830655308,3.3274550898203596,41.689,141.560618729097,119.88,85.26,0.0,0.0,0.0
52,-59181.0,-57936.645279585115,3.4089256780556534,42.874,146.56210258584144,124.89,88.84,0.0,0.0,0.0
53,-57800.0,-56582.41485474627,3.34057238464248,41.877,141.19776119402985,119.59,85.11,0.0,0.0,0.0
54,-58668.0,-57435.0470083323,3.381455442057062,42.605,145.54110169491526,123.86,88.43,0.0,0.0,0.0
55,-56326.0,-55375.64775770903,3.259650933427263,40.954,140.23057538849224,118.55,84.66,0.0,0.0,0.0
