step,cumulative_reward,average_cumulative_reward,waiting_time,speed,lane_density
505.0,-43.08,-26.715423512967334,40.5,2.3525262817105106,1.8175698518753052
510.0,-36.63,-27.211152337318964,27.866666666666667,3.9041767757803028,2.6156176328659058
515.0,-34.0,-27.550594720453013,16.543478260869566,4.6175876760138355,1.514641523361206
520.0,-34.59,-27.902564984430363,7.558139534883721,4.900156848657829,2.514641523361206
525.0,-31.51,-28.082936735208847,0.5348837209302325,4.262984154827335,1.514641523361206
530.0,-25.29,-27.943289898448405,0.47619047619047616,4.262646851449537,2.4136654138565063
535.0,-22.48,-27.670125403525983,0.021739130434782608,4.7429171695445,1.514641523361206
540.0,-22.6,-27.41661913334968,0.4883720930232558,4.904309936105753,2.514641523361206
545.0,-23.06,-27.198788176682193,1.4545454545454546,4.667071036293913,2.6156176328659058
550.0,-23.87,-27.03234876784808,3.372093023255814,3.41220599408925,2.7165937423706055
555.0,-21.72,-26.766731329455673,3.3181818181818183,2.87470323161163,1.7165937423706055
560.0,-16.82,-26.26939476298289,2.5,4.089664879874662,2.514641523361206
565.0,-17.57,-25.834425024833745,2.0,4.1877016356243555,1.6156176328659058
570.0,-18.27,-25.456203773592055,1.7906976744186047,4.0720396486876025,2.6156176328659058
575.0,-15.97,-24.981893584912452,0.782608695652174,4.123452096073097,1.6156176328659058
580.0,-11.01,-24.28329890566683,0.4666666666666667,4.278219046534333,2.514641523361206
585.0,-8.99,-23.518633960383486,0.06976744186046512,4.332524338689022,1.4136654138565063
590.0,-9.07,-22.79620226236431,0.35,4.7829301137976294,2.4136654138565063
595.0,-9.55,-22.133892149246094,1.4523809523809523,4.919052439452315,2.565129578113556
600.0,-10.35,-21.544697541783787,3.525,3.3925740816777052,2.6156176328659058
605.0,-11.43,-21.038962664694598,6.384615384615385,2.187002804737989,2.6661056876182556
610.0,-10.21,-20.497514531459867,6.341463414634147,2.0661874989737568,1.6156176328659058
615.0,-7.47,-19.846138804886873,5.069767441860465,3.8677671685567097,2.514641523361206
620.0,-8.26,-19.26683186464253,3.4347826086956523,4.364380987278259,1.565129578113556
625.0,-8.99,-18.752990271410404,2.1555555555555554,4.539323163195386,2.6156176328659058
630.0,-7.38,-18.184340757839884,1.0,3.9351284705500946,1.514641523361206
635.0,-6.19,-17.58462371994789,0.7857142857142857,4.455125591143222,2.3126893043518066
640.0,-5.55,-16.982892533950494,0.2682926829268293,4.842719128635149,1.2622012495994568
645.0,-5.77,-16.422247907252967,0.6486486486486487,4.980204111520795,2.262201249599457
650.0,-6.32,-15.917135511890319,2.0789473684210527,5.193046116275051,2.3126893043518066
655.0,-6.05,-15.423778736295802,2.1944444444444446,3.8557199867271854,1.3126893043518066
660.0,-4.85,-14.89508979948101,1.4444444444444444,3.9007409374986506,2.211713194847107
665.0,-3.25,-14.312835309506958,1.2820512820512822,6.119864545954166,2.0097609758377075
670.0,-3.3,-13.762193544031609,0.05405405405405406,6.025530524603445,1.1107370853424072
675.0,-3.4,-13.244083866830028,0.7647058823529411,6.098455081762303,2.1107370853424072
680.0,-3.08,-12.735879673488526,0.6764705882352942,5.480373832139651,1.0602490305900574
685.0,-2.05,-12.201585689814099,0.34375,6.182681460495781,1.9087849259376526
690.0,-1.49,-11.666006405323394,0.034482758620689655,5.794665578221534,0.8078088164329529
695.0,-1.71,-11.168206085057223,0.8214285714285714,6.209579025382507,1.8078088164329529
700.0,-2.24,-10.721795780804362,3.0,4.957236196899241,1.8582968711853027
705.0,-2.19,-10.295205991764144,3.0869565217391304,3.6844908590558845,0.8582968711853027
710.0,-1.47,-9.853945692175936,0.34615384615384615,7.045750768164255,1.757320761680603
715.0,-0.57,-9.389748407567138,0.5714285714285714,9.914406288558242,1.454392448067665
720.0,-0.33,-8.936760987188782,1.1538461538461537,9.941770845246445,1.2524402514100075
725.0,-0.14,-8.496922937829343,0.08333333333333333,8.1764797994662,0.2524402514100075
730.0,-0.16,-8.080076790937873,0.7272727272727273,10.018698759877049,1.3029282987117767
735.0,-0.37,-7.69457295139098,1.7619047619047619,10.130312190617824,1.3534163534641266
740.0,-0.63,-7.341344303821431,3.3157894736842106,9.063728174629677,1.4039044082164764
745.0,-0.93,-7.02077708863036,5.470588235294118,7.55446751695023,1.5048804879188538
750.0,-1.27,-6.733238234198842,7.055555555555555,6.957532321302626,1.5553685426712036
755.0,-1.67,-6.480076322488899,8.789473684210526,6.066836414215412,1.6058565974235535
760.0,-2.16,-6.264072506364453,10.8,5.753516119757129,1.6058565974235535
765.0,-1.85,-6.043368881046231,3.0,5.907305868744029,0.5553685426712036
770.0,-0.6800000000000002,-5.775200436993918,0.08333333333333333,9.358986047307566,1.454392448067665
775.0,-0.5700000000000001,-5.514940415144222,0.21739130434782608,8.711313021189708,0.40390439331531525
780.0,-0.8400000000000001,-5.281193394387011,1.7777777777777777,6.793127042398733,1.4039044082164764
785.0,-1.2000000000000002,-5.07713372466766,4.25,6.122216726757408,1.4039044082164764
790.0,-0.9200000000000003,-4.869277038434277,1.1875,6.817394594067094,0.40390440821647644
795.0,-0.2400000000000002,-4.637813186512563,0.3125,10.413242720989487,1.2019522041082382
800.0,-0.16000000000000023,-4.4139225271869345,0.17647058823529413,10.071210454766863,0.20195220038294792
805.0,-0.26000000000000023,-4.206226400827587,0.9285714285714286,8.836340529365353,1.201952200382948
810.0,-0.3800000000000002,-4.014915080786207,2.5454545454545454,7.3669407553022745,1.2524402514100075
815.0,-0.5700000000000002,-3.842669326746897,4.2727272727272725,7.878509115294671,1.3029282987117767
820.0,-0.7700000000000002,-3.689035860409552,5.153846153846154,7.874698742809922,1.4039044082164764
825.0,-0.34000000000000025,-3.521584067389074,0.0,8.13367870162484,0.3534163534641266
830.0,-0.09000000000000025,-3.3500048640196205,0.5625,9.396031296340906,1.1514641530811787
835.0,-0.06000000000000025,-3.1855046208186395,0.0625,7.2647360795785545,0.10097610205411911
