episode,cumulative_reward,average_cumulative_reward,mean_waiting_time,mean_speed,mean_lane_density
0,-763.38,-763.4461531069575,1248.3648272495852,1.500502247516578,6.981729482212049
1,-763.21,-763.3835884614006,1260.4520146806742,1.50002180436339,6.994644240929907
2,-763.8,-763.7392644099791,1247.3485626017707,1.5043494180081503,6.99810426206411
3,-762.51,-763.0030660053598,1239.7880775852952,1.4952979055921016,7.0095903487143385
4,-764.12,-763.7426640183301,1246.3180082527372,1.4833806397158489,7.007881648467773
5,-764.08,-763.9730043864754,1250.7585593863557,1.4905338460417275,6.990138076787604
6,-764.42,-764.1093626164221,1265.5365275075794,1.4863534140036305,7.001113420218389
7,-763.22,-763.0739716142455,1258.465048784836,1.4860702126868395,7.0224149348362115
8,-764.45,-763.6539357059281,1240.7090020520657,1.5282709061494992,6.972383938006342
9,-763.8,-763.9819532198414,1242.671315758574,1.4988863948556062,7.002831278619234
10,-762.62,-763.3476954205925,1267.3526606081496,1.4912452051308638,7.0083930961606224
11,-763.36,-763.5943813651493,1270.2718603602611,1.4933026142080916,7.000055301162384
12,-763.73,-764.3465262556816,1269.8063841026783,1.4895625749468695,7.004622402254316
13,-764.32,-763.710219167502,1272.6819423388552,1.5042290825703148,6.996822120464954
14,-763.63,-763.6138929487911,1241.8651078089633,1.5134027293693024,6.994177879535049
15,-763.17,-763.7608455666046,1273.6995802998158,1.4849674294463775,7.02544452271927
16,-763.51,-763.5519310916254,1243.7113424796844,1.5050691497357649,6.975126452976401
17,-763.44,-763.6633414956717,1267.6186597731632,1.4860839881011825,7.013060584712929
18,-764.95,-764.1655266729151,1255.0782623334312,1.4919518209442926,7.013471644945405
19,-763.14,-763.5111576961116,1252.4476245444916,1.4873815852434795,7.013717858400847
20,-762.64,-763.0672317551232,1239.5482950551218,1.4977824021693937,6.992577315956324
21,-763.23,-763.66483573538,1266.8072053859134,1.5007676090404203,7.00048714336034
22,-762.61,-763.5149107563798,1255.5382311780966,1.5010495046437196,6.9875244804508645
23,-761.93,-763.3528511827118,1234.0227238076227,1.4988718629596016,7.005300457907716
24,-764.96,-764.0053437190305,1257.7527696795123,1.4904404442454495,6.99488023952096
25,-763.45,-763.1249011418602,1232.7863349131992,1.5023919820506295,6.998813314547378
26,-763.56,-763.8164947600227,1246.2767164828006,1.498776623257551,7.000827404015501
27,-764.23,-764.0099692044349,1261.1830486776157,1.5121101856500476,6.98485840084537
28,-762.18,-763.193887012878,1229.9159278614711,1.4918635487332703,6.994276153575205
29,-762.5,-763.0540324780187,1266.2727920200232,1.524000052730279,6.988180345191971
30,-763.21,-763.3528422529666,1266.9521003357108,1.4983901956067358,7.006484677703418
31,-763.84,-763.5451331691851,1268.1965378729321,1.503371234948813,6.994780908770696
32,-764.24,-763.9819738270685,1235.842075530525,1.5178411444760649,6.9766752377597765
33,-764.05,-764.1739209589496,1226.5069719074215,1.520374701444497,6.9774395914054255
34,-763.49,-763.8721909417986,1254.651266803476,1.4973737008215235,7.009494892567807
35,-763.28,-764.0300468700514,1249.3419781297728,1.4866487777067305,7.010713983797114
36,-763.49,-763.7752912423463,1260.8064509933313,1.4966545825016153,7.001381472349421
37,-762.64,-763.1112523589223,1205.792245582278,1.5156508065813619,6.969011976047907
38,-763.38,-763.6200700324769,1264.2945294363965,1.490305551103786,7.008346600915818
39,-763.78,-763.3601540951829,1275.9897569409775,1.491928965875721,7.015175061641425
40,-763.29,-763.6226175736983,1248.3835870093012,1.5023487222092735,7.000840436773513
41,-762.9,-763.3655389867846,1266.0308396727814,1.4957789638066024,7.007177879535049
42,-764.47,-763.4840119910316,1236.9029413149804,1.5280317167123558,6.973600563578727
43,-764.52,-763.9076164033578,1264.4453072262697,1.5218608099140993,6.995728073265236
44,-763.23,-763.593365150045,1270.8379605609848,1.4888535326877568,7.014829869672422
45,-764.08,-763.845981889712,1224.772782475368,1.4998177617807489,6.988890806622052
46,-763.48,-763.5823961490815,1243.730295490398,1.502092280820298,6.99616766467066
47,-763.59,-763.441428193802,1265.9080600582581,1.4948765884827298,6.9989767523776
48,-763.85,-763.5056166618534,1257.591528351008,1.4825207818220676,7.021601972525539
49,-762.59,-763.4308792928808,1252.4492575700858,1.4874216576206933,7.007377597745687
