episode,cumulative_reward,average_cumulative_reward,mean_waiting_time,mean_speed,mean_lane_density
0,-0.6100000000000009,-0.030500000000000044,0.12766728008813666,1.0487198050982784,0.2925025899849832
1,-0.97,-0.07747500000000004,0.13048994040515835,1.1700744374957697,0.25993066102787854
2,-0.93,-0.12010125000000005,0.14221012781680187,1.0790785109588967,0.28133564271852374
3,-0.89,-0.15859618750000004,0.12508980229305944,1.0403690798535712,0.2928397154785693
4,-0.3899999999999999,-0.17016637812500002,0.1307005013079412,1.1425383469008954,0.2699800721421838
5,-0.7499999999999999,-0.19915805921875002,0.12675455386171997,1.0857997320344914,0.2783441245079041
6,-0.94,-0.2362001562578125,0.14183125198254148,1.0391333705741237,0.2916853565700352
7,-0.24,-0.23639014844492187,0.12969549457147417,1.0339056988494943,0.2950615263082087
8,-0.66,-0.2575706410226758,0.13663980358769778,1.0440464523044846,0.29137852381840346
9,-0.66,-0.277692108971542,0.12489723191449659,1.0616098109351042,0.28837105178162453
10,-0.3,-0.2788075035229649,0.12766993092076198,1.106759773527513,0.273467652079463
11,-0.42,-0.28586712834681666,0.1256622366098926,1.0895594650916325,0.28607694211304185
12,-0.2299999999999998,-0.2830737719294758,0.12920296386166857,1.0347949262291913,0.2932788269288838
13,-1.1299999999999997,-0.325420083333002,0.12674012835141096,1.0895363227539236,0.2750021521821618
14,-0.4599999999999999,-0.3321490791663519,0.12492873618559104,1.0718171047202594,0.2881108025535941
15,-0.22,-0.3265416252080343,0.13673856731896203,1.0947268003735584,0.2776685947164893
16,-1.11,-0.3657145439476326,0.1347880513123827,1.0281943327737253,0.29585728524774313
17,-0.5899999999999991,-0.3769288167502509,0.13119008555007447,1.0926026229455812,0.27458815011307597
18,-2.049999999999999,-0.4605823759127383,0.13856940058366282,1.0998786420996836,0.2817629734195769
19,-0.91,-0.48305325711710134,0.14669764222720813,1.0544836817997907,0.2848251746118069
20,-0.79,-0.4984005942612463,0.13588970034598166,1.0322588891044107,0.2982768075592816
21,-0.7,-0.5084805645481839,0.13688897240870299,1.0802350206878604,0.2796050470545888
22,-1.09,-0.5375565363207747,0.14076693846344224,1.0557194252287867,0.28270043562203645
23,-0.46,-0.533678709504736,0.1319201688348015,1.0792320818326453,0.28191706332862376
24,-0.54,-0.5339947740294991,0.13894744929371036,1.0672302792345627,0.2740653633207083
25,-0.9799999999999991,-0.556295035328024,0.13095145832764782,1.0725831596792812,0.27506697878614067
26,-0.5099999999999998,-0.5539802835616228,0.1341263782946877,1.0319482908241742,0.29111140831038357
27,-0.62,-0.5572812693835416,0.13742486505760193,1.080087177930878,0.2808490051239729
28,-0.5,-0.5544172059143645,0.13600560521851257,1.1187775380460896,0.26421824052259324
29,-0.85,-0.5691963456186462,0.13604332033713873,1.0243797818546172,0.2942214724101126
30,-0.49,-0.5652365283377138,0.1397402796044701,1.0581152175106188,0.28015617434084417
31,-0.77,-0.5754747019208281,0.1240688817567138,1.0865540624539503,0.2783480292290449
32,-0.29,-0.5612009668247866,0.12140400157027816,1.101767172251823,0.2741093217991292
33,-1.75,-0.6206409184835473,0.1303464350872179,1.0497093199927765,0.28811827483326197
34,-0.2,-0.5996088725593699,0.12375881639659342,1.1599434279761909,0.25939124678894876
35,-0.62,-0.6006284289314014,0.1306605653660867,1.1041789835064793,0.27184617791473864
36,-0.65,-0.6030970074848313,0.14388540086448803,1.0450834686874535,0.29377165739312766
37,-0.38,-0.5919421571105897,0.126966634515629,1.0410720717990196,0.29583675346523525
38,-0.3900000000000009,-0.5818450492550603,0.1362056132558995,1.0563137915736631,0.2822258479349315
39,-0.89,-0.5972527967923073,0.13842113299110068,1.084731795512326,0.2747259488262236
40,-0.57,-0.5958901569526919,0.1413765196260204,1.0559187961457028,0.282993602963537
41,-1.08,-0.6200956491050573,0.1363860813903437,1.01301159673832,0.30012594893053174
42,-0.27,-0.6025908666498044,0.13513290704260922,1.0521435353174278,0.2869489041402936
43,-1.69,-0.6569613233173142,0.1343362740741251,1.0738365064587656,0.2913417013950646
44,-0.96,-0.6721132571514484,0.12456949520689659,1.0274890004271107,0.2983647238209844
45,-0.53,-0.6650075942938759,0.1332373986204668,1.0188837941146238,0.2967311997614801
46,-0.95,-0.6792572145791821,0.13287033021354372,1.0410861635366584,0.29659016986042264
