step,option,action,obs,termination_prob,should_terminate,greedy_option,cumulative_reward,average_cumulative_reward,waiting_time,speed,lane_density
90.0,0,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.42268404, 0.21134202, 0.79253256, 0.8982036, 0.36984855, 0.36984855, 0.79253256, 0.9510391, 0.0, 0.10567101, 0.26417753, 0.63402605, 0.0, 0.36984855, 0.21134202, 0.63402605",,True,0,-13.4,-4.230536806559633,6.0,2.6383111028230073,4.808030996829871
95.0,0,1,"0.0, 0.0, 1.0, 0.0, 1.0, 0.47551954, 0.26417753, 0.7396971, 0.9510391, 0.36984855, 0.36984855, 0.7396971, 0.9510391, 0.15850651, 0.15850651, 0.15850651, 0.79253256, 0.15850651, 0.36984855, 0.15850651, 0.8453681",,True,0,-14.45,-4.741509966231652,7.851485148514851,2.2920648455125994,4.860866502289539
100.0,0,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.52835506, 0.26417753, 0.79253256, 0.9510391, 0.36984855, 0.36984855, 0.79253256, 0.9510391, 0.36984855, 0.15850651, 0.15850651, 0.79253256, 0.31701303, 0.36984855, 0.21134202, 0.79253256",,True,0,-16.76,-5.342434467920069,8.715686274509803,1.5521934039501026,5.019373018668546
105.0,0,2,"0.0, 0.0, 0.0, 1.0, 1.0, 0.5811906, 0.31701303, 0.8453681, 0.8453681, 0.42268404, 0.42268404, 0.8453681, 0.8453681, 0.47551954, 0.21134202, 0.21134202, 0.5811906, 0.36984855, 0.36984855, 0.31701303, 0.5811906",,True,0,-18.69,-6.009812744524065,8.923076923076923,1.9052665977728236,5.125044029587883
110.0,0,3,"0.0, 0.0, 0.0, 1.0, 1.0, 0.5811906, 0.31701303, 0.8453681, 0.6868616, 0.47551954, 0.52835506, 0.8453681, 0.6868616, 0.52835506, 0.26417753, 0.36984855, 0.36984855, 0.36984855, 0.36984855, 0.42268404, 0.36984855",,True,0,-20.14,-6.716322107297861,9.849056603773585,2.826591349834021,4.966537513208877
115.0,0,3,"0.0, 0.0, 0.0, 1.0, 1.0, 0.63402605, 0.36984855, 0.9510391, 0.52835506, 0.47551954, 0.52835506, 0.9510391, 0.5811906, 0.5811906, 0.31701303, 0.52835506, 0.15850651, 0.42268404, 0.42268404, 0.5811906, 0.15850651",,True,0,-21.9,-7.475506001932968,10.99074074074074,2.802502103256639,5.019373018668546
120.0,0,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.6868616, 0.42268404, 0.8982036, 0.52835506, 0.5811906, 0.52835506, 0.8982036, 0.52835506, 0.5811906, 0.31701303, 0.5811906, 0.0, 0.47551954, 0.52835506, 0.5811906, 0.052835505",,True,0,-23.61,-8.282230701836319,11.841121495327103,2.7095571608795432,5.072208524128214
125.0,0,0,"0.0, 0.0, 1.0, 0.0, 1.0, 0.6868616, 0.47551954, 0.8453681, 0.5811906, 0.5811906, 0.52835506, 0.8453681, 0.63402605, 0.6868616, 0.36984855, 0.52835506, 0.15850651, 0.52835506, 0.52835506, 0.52835506, 0.15850651",,True,0,-24.91,-9.113619166744503,13.091743119266056,2.5385706936061543,5.177879535047552
130.0,0,0,"1.0, 0.0, 0.0, 0.0, 0.0, 0.6868616, 0.52835506, 0.8453681, 0.7396971, 0.52835506, 0.52835506, 0.8453681, 0.7396971, 0.52835506, 0.42268404, 0.42268404, 0.26417753, 0.42268404, 0.52835506, 0.42268404, 0.31701303",,True,0,-26.76,-9.995938208407278,12.9009009009009,2.0093827723910813,5.442057062345897
135.0,0,1,"1.0, 0.0, 0.0, 0.0, 1.0, 0.5811906, 0.52835506, 0.8453681, 0.8453681, 0.42268404, 0.52835506, 0.8453681, 0.8453681, 0.31701303, 0.47551954, 0.36984855, 0.42268404, 0.15850651, 0.52835506, 0.31701303, 0.52835506",,True,0,-27.65,-10.878641297986913,11.818181818181818,1.7438919317946613,5.442057062345897
140.0,0,0,"1.0, 0.0, 0.0, 0.0, 1.0, 0.47551954, 0.52835506, 0.8453681, 0.9510391, 0.26417753, 0.5811906, 0.8453681, 0.9510391, 0.10567101, 0.52835506, 0.42268404, 0.63402605, 0.0, 0.52835506, 0.36984855, 0.6868616",,True,0,-28.22,-11.745709233087567,12.078260869565218,2.2619246744680757,5.442057062345896
145.0,0,1,"0.0, 1.0, 0.0, 0.0, 0.0, 0.5811906, 0.52835506, 0.9510391, 0.9510391, 0.26417753, 0.6868616, 0.9510391, 1.0, 0.0, 0.36984855, 0.52835506, 0.8453681, 0.0, 0.36984855, 0.5811906, 0.8453681",,True,0,-29.47,-12.631923771433188,9.467213114754099,2.236854907891291,5.913702007749208
150.0,0,1,"0.0, 1.0, 0.0, 0.0, 1.0, 0.5811906, 0.47551954, 0.9510391, 1.0, 0.26417753, 0.6868616, 0.9510391, 1.0, 0.15850651, 0.10567101, 0.79253256, 1.0, 0.15850651, 0.26417753, 0.6868616, 1.0",,True,0,-29.82,-13.491327582861528,8.380165289256198,1.6839598204536177,5.909827404015498
155.0,0,1,"0.0, 1.0, 0.0, 0.0, 1.0, 0.5811906, 0.36984855, 1.0, 1.0, 0.31701303, 0.5811906, 1.0, 1.0, 0.31701303, 0.0, 0.9510391, 1.0, 0.26417753, 0.15850651, 0.9510391, 1.0",,True,0,-30.5,-14.341761203718452,10.731707317073171,1.9177237647283107,5.849242691088412
160.0,0,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.5811906, 0.42268404, 0.9510391, 1.0, 0.36984855, 0.5811906, 0.9510391, 1.0, 0.47551954, 0.0, 0.8453681, 1.0, 0.26417753, 0.10567101, 0.8453681, 1.0",,True,0,-33.46,-15.29767314353253,12.860655737704919,1.8455779272001065,5.85699189855583
