step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.071146004166076,0,0.0,0.938456673025258,0,0.0
10.0,0,0.0,0.0,12.65952701726879,0,0.0,0.9114373363989182,0,0.0
15.0,0,0.0,0.0,11.447309417524771,0,0.0,0.7888309840031764,0,0.0
20.0,1,5.0,0.29411764705882354,11.572965749942547,1,5.0,0.8336000036404603,1,5.0
25.0,1,10.0,0.5263157894736842,10.264421283419178,1,10.0,0.7228881143620223,1,10.0
30.0,0,0.0,0.0,10.134935502980614,0,2.0,0.7418776482416524,0,2.0
35.0,2,7.0,0.4117647058823529,9.055084893181274,2,7.0,0.5150074175536434,2,7.0
40.0,0,0.0,0.0,9.128486763031532,0,12.0,0.6282005407127147,0,12.0
45.0,1,2.0,0.1111111111111111,9.510263163418749,1,2.0,0.6532628121139655,1,2.0
50.0,3,6.0,0.2727272727272727,8.399280276921674,3,6.0,0.5699047770171304,3,6.0
55.0,5,28.0,1.2173913043478262,8.468037827709763,5,28.0,0.5003944937025147,5,28.0
60.0,0,0.0,0.0,7.936364419996843,0,24.0,0.4698920394789478,0,24.0
65.0,1,2.0,0.1,9.179965025893084,1,2.0,0.5594493345322439,1,2.0
70.0,2,12.0,0.48,11.88303490498663,2,12.0,0.7961558880935223,2,12.0
75.0,0,0.0,0.0,10.563697780261803,0,0.0,0.766556028124514,0,0.0
80.0,4,11.0,0.5,8.457785246965809,4,11.0,0.45093472131843765,4,11.0
85.0,2,3.0,0.14285714285714285,7.245759898446873,2,17.0,0.4164441351892099,2,17.0
90.0,1,5.0,0.21739130434782608,9.151206531639085,1,8.0,0.5796018825975572,1,8.0
95.0,1,10.0,0.38461538461538464,10.475040175382901,1,10.0,0.7085192004525028,1,10.0
100.0,2,17.0,0.6296296296296297,10.676423909837897,2,17.0,0.7616072391647531,2,17.0
105.0,0,0.0,0.0,9.330333919735754,0,0.0,0.6767089043227046,0,0.0
110.0,4,15.0,0.6,8.330726837443656,4,15.0,0.46579086759154625,4,15.0
115.0,3,6.0,0.25,7.625601720359978,3,24.0,0.4629874121772833,3,24.0
120.0,0,0.0,0.0,9.556923213808052,0,9.0,0.6325033062715139,0,9.0
125.0,1,2.0,0.07692307692307693,9.6141661418182,1,2.0,0.6755725592532686,1,2.0
130.0,4,16.0,0.6153846153846154,8.677094222938907,4,16.0,0.5363206196399606,4,16.0
135.0,1,1.0,0.038461538461538464,9.071208605710147,1,11.0,0.6266304711951622,1,11.0
140.0,2,8.0,0.32,11.229159730688473,2,8.0,0.7442699026069741,2,8.0
145.0,1,1.0,0.04,9.167199892619053,1,4.0,0.6041313532990044,1,4.0
150.0,3,14.0,0.6363636363636364,9.018708052200553,3,14.0,0.5676280584924894,3,14.0
155.0,4,33.0,1.434782608695652,8.739110776761986,4,33.0,0.47449315892790717,4,33.0
160.0,2,2.0,0.08,8.070857382078115,2,25.0,0.47437341034079283,2,25.0
165.0,4,20.0,0.8333333333333334,9.093339078469382,4,20.0,0.5288786114317456,4,20.0
170.0,1,1.0,0.047619047619047616,8.761356243100616,1,19.0,0.5367472018810241,1,19.0
175.0,1,1.0,0.05555555555555555,9.711248697713835,1,1.0,0.6185839973938667,1,1.0
180.0,1,2.0,0.1,8.728660416545738,1,2.0,0.4955270764045831,1,2.0
185.0,7,26.0,1.368421052631579,7.830263491807563,7,26.0,0.41638125081484695,7,26.0
190.0,3,10.0,0.5555555555555556,6.537087673713867,3,37.0,0.38190085386773265,3,37.0
195.0,1,2.0,0.1,9.363027391900133,1,13.0,0.5556428782751893,1,13.0
200.0,3,10.0,0.45454545454545453,10.660339104598197,3,10.0,0.6259899855088555,3,10.0
205.0,1,1.0,0.04,9.56189945585082,1,5.0,0.6372572716356976,1,5.0
210.0,4,16.0,0.7272727272727273,9.715137052109283,4,16.0,0.5778406233863397,4,16.0
215.0,1,2.0,0.09523809523809523,6.567258706243725,1,15.0,0.38315868903243366,1,15.0
220.0,2,9.0,0.391304347826087,8.590786423252666,2,11.0,0.5955328785352789,2,11.0
