step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,32564122_stopped,32564122_accumulated_waiting_time,32564122_average_speed,cluster_1757124350_1757124352_stopped,cluster_1757124350_1757124352_accumulated_waiting_time,cluster_1757124350_1757124352_average_speed,cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190_stopped,cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190_accumulated_waiting_time,cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190_average_speed,gneJ143_stopped,gneJ143_accumulated_waiting_time,gneJ143_average_speed,gneJ207_stopped,gneJ207_accumulated_waiting_time,gneJ207_average_speed,gneJ210_stopped,gneJ210_accumulated_waiting_time,gneJ210_average_speed,gneJ260_stopped,gneJ260_accumulated_waiting_time,gneJ260_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
57690.0,39,985.0,14.071428571428571,3.922524303191211,1,2.0,0.2255583491923691,3,73.0,0.0,5,128.0,1.6756272748979732e-06,12,238.0,0.13546329124234444,3,7.0,0.3160486436924629,0,0.0,1.0,3,140.0,0.11031659382839484,27,588.0
57695.0,41,1070.0,15.285714285714286,3.586786648246871,1,7.0,0.0,3,88.0,0.0,5,153.0,0.0,13,302.0,0.03131039549614031,5,29.0,0.23136018029483427,0,0.0,1.0,4,158.0,2.6220853964547415e-05,31,737.0
57700.0,38,1009.0,13.821917808219178,3.6007506280195902,1,12.0,0.4922413697919653,3,103.0,0.0,5,178.0,0.0,11,319.0,0.06628419383902355,4,35.0,0.10378303034225483,0,0.0,1.0,4,178.0,0.0,28,825.0
57705.0,32,999.0,14.070422535211268,4.306394739763535,0,12.0,0.5017419160027617,3,118.0,0.18714135703992507,5,203.0,0.0,8,366.0,0.09490054620007879,2,32.0,0.3375060541945436,0,0.0,1.0,4,200.0,0.40810829858998077,22,931.0
57710.0,28,1028.0,15.117647058823529,4.13770113045395,1,11.0,0.4779981019667534,3,133.0,0.0,5,228.0,0.0,6,400.0,0.16521615248957922,0,22.0,0.538370497016146,0,0.0,1.0,4,220.0,0.31975398001254524,19,1014.0
57715.0,29,1125.0,16.071428571428573,4.095669088319396,1,9.0,0.0,3,148.0,0.0,5,253.0,0.0,7,433.0,0.09235941922973678,0,22.0,0.4422493011593508,0,0.0,1.0,4,238.0,0.0,20,1103.0
57720.0,26,1181.0,15.746666666666666,4.831371114693704,0,0.0,1.0,3,163.0,0.0,5,278.0,0.15821877269795812,8,416.0,0.04705704359382516,0,12.0,0.34675766413622167,0,0.0,0.5628389242346957,4,260.0,0.32034626419737205,20,1129.0
57725.0,31,1274.0,16.763157894736842,4.836530480664379,0,0.0,1.0,3,178.0,0.0,5,303.0,0.2258939038105025,7,402.0,0.0970538361828861,0,8.0,0.2759398733657123,1,3.0,0.4788540372350085,4,290.0,0.5297376294989978,20,1184.0
57730.0,30,1374.0,18.07894736842105,4.974754091182956,0,0.0,1.0,3,193.0,0.0,6,330.0,0.11660487359426767,4,376.0,0.17022125586902995,3,15.0,0.10263604645349819,1,8.0,0.6246395861885629,4,308.0,0.3610207689748778,21,1230.0
57735.0,30,1446.0,19.28,5.065737914630328,0,0.0,1.0,3,208.0,0.0,6,359.0,1.525907796817768e-06,3,293.0,0.2013439616371907,3,23.0,0.165119776091067,1,13.0,0.013413944917851757,6,325.0,5.1799791018896655e-05,22,1221.0
57740.0,28,1553.0,19.658227848101266,5.654191059718867,0,0.0,1.0,3,223.0,0.0,6,389.0,0.0,0,215.0,0.3368836131603541,1,21.0,0.28033062358777,2,23.0,0.318607508699086,6,355.0,0.0,18,1226.0
57745.0,28,1681.0,21.0125,5.723479700492384,0,0.0,0.9455544529555986,3,238.0,0.0,6,419.0,0.0,0,152.0,0.4761179700025692,1,22.0,0.315174985251399,2,33.0,0.42960985948801256,6,385.0,0.0,18,1249.0
57750.0,27,1811.0,22.6375,5.383907096458638,0,0.0,0.2740164969263345,3,253.0,0.06809950342389208,6,449.0,0.0,0,95.0,0.3987827241660363,2,28.0,0.013598134003628859,2,43.0,0.0076357710169520495,6,415.0,0.0,19,1283.0
57755.0,30,1951.0,23.79268292682927,5.14192974837867,1,3.0,0.36091464205292695,3,268.0,0.058322052885217614,6,479.0,0.0,0,70.0,0.2655899204240268,1,22.0,0.1033385714125143,3,57.0,0.0,6,445.0,0.24218522134936288,20,1344.0
57760.0,34,2101.0,24.430232558139537,5.046554006899335,0,0.0,0.9715713011054351,4,285.0,0.0001129307428429272,6,509.0,0.1211212017614177,0,68.0,0.32320772714868307,1,24.0,0.36652635347447937,3,72.0,0.0,6,475.0,0.14010230894939082,20,1433.0
57765.0,35,2272.0,28.049382716049383,5.364593597963739,0,2.0,0.9350288085701027,4,305.0,0.0,6,539.0,0.0,0,18.0,0.3273448860763099,1,29.0,0.48183327091934636,3,87.0,0.0,6,505.0,0.0,20,1485.0
