step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
240.0,5,29.0,0.7631578947368421,6.030037071167885,5,107.0,0.3195924347338665,5,107.0
245.0,7,26.0,0.6842105263157895,6.7543565623408,7,88.0,0.3465994877763108,7,88.0
250.0,8,28.0,0.7567567567567568,4.823457979152916,8,100.0,0.18651072330120957,8,100.0
255.0,9,30.0,0.8108108108108109,5.146959468446571,9,107.0,0.2102865090924931,9,107.0
260.0,6,52.0,1.368421052631579,7.068260597228807,6,109.0,0.3340549074757772,6,109.0
265.0,6,82.0,2.2777777777777777,7.548013317774738,6,123.0,0.36304803991435225,6,123.0
270.0,4,8.0,0.22857142857142856,7.054824377312036,4,97.0,0.3873171249084157,4,97.0
275.0,6,24.0,0.7741935483870968,6.589108940302761,6,47.0,0.3002070210936689,6,47.0
280.0,8,23.0,0.7666666666666667,5.10205001983897,8,65.0,0.18482651059917288,8,65.0
285.0,3,12.0,0.375,7.039422595118753,3,51.0,0.36303731709344117,3,51.0
290.0,1,14.0,0.45161290322580644,7.773268580000608,1,38.0,0.3842218035557163,1,38.0
295.0,1,19.0,0.6333333333333333,8.873945379814126,1,33.0,0.6172141326095609,1,33.0
300.0,3,26.0,0.8387096774193549,9.355959815877899,3,35.0,0.6242532370620926,3,35.0
305.0,3,41.0,1.3666666666666667,9.05595045768796,3,46.0,0.6113927860085557,3,46.0
310.0,4,60.0,2.0,9.502612472242467,4,65.0,0.6363086775644661,4,65.0
315.0,1,1.0,0.03333333333333333,9.017171520812292,1,22.0,0.6556024011860203,1,22.0
320.0,5,19.0,0.6785714285714286,8.40348643816991,5,19.0,0.4889822136704294,5,19.0
325.0,4,10.0,0.35714285714285715,6.555983223534826,4,32.0,0.39587937667119955,4,32.0
330.0,2,10.0,0.35714285714285715,8.405582305559841,2,24.0,0.5387872270787984,2,24.0
335.0,3,22.0,0.8148148148148148,8.184958928477805,3,23.0,0.41978092026132835,3,23.0
