step,cumulative_reward,average_cumulative_reward,mean_waiting_time,mean_speed,queue_length
5.0,0.0,0.0,0.0,12.449784971636479,0.050488051027059555
10.0,0.0,0.0,0.0,25.435434353133036,1.0504880510270596
15.0,0.0,0.0,0.0,38.15942525351852,1.0
20.0,0.0,0.0,0.0,49.90389393226138,0.050488051027059555
25.0,0.0,0.0,0.0,63.052387293112254,1.0504880510270596
30.0,0.0,0.0,0.0,74.45146867705667,1.2019522041082382
35.0,-0.01,-0.0005,0.07142857142857142,86.48523695602586,0.3534163534641266
40.0,-0.06,-0.0034750000000000002,0.4714285714285714,96.96769169683112,1.2524402514100075
45.0,-0.25,-0.01580125,1.7214285714285715,106.29383991941907,1.2019522041082382
50.0,-0.23,-0.0265111875,1.7214285714285715,114.84500213723031,0.20195220410823822
55.0,-0.01999999999999999,-0.026185628125,1.8123376623376624,125.12935882352548,1.3029282987117767
60.0,-0.16,-0.03287634671875,2.654442925495557,135.74134114631067,1.3029282987117767
65.0,-0.09,-0.035732529382812496,2.7132664549073215,143.3544956299792,0.30292829871177673
70.0,-0.14,-0.04094590291367187,3.790189531830398,152.02696081867063,1.1514641530811787
75.0,-0.33,-0.05539860776798827,5.731366002418634,161.60456848364058,1.100976102054119
80.0,-0.18,-0.06162867737958886,5.731366002418634,171.29806819869142,0.10097610205411911
85.0,-0.04999999999999999,-0.06104724351060942,6.043866002418634,182.2533124257741,1.100976102054119
90.0,-0.13,-0.06449488133507894,6.766088224640856,193.20634032138565,1.2019522041082382
95.0,-0.020000000000000004,-0.06227013726832499,6.891088224640856,202.9412003427192,0.10097610205411911
100.0,-0.18,-0.06815663040490874,8.27570360925624,210.7445374112327,1.1514641530811787
105.0,-0.44,-0.0867487988846633,11.02570360925624,218.96829696303533,1.1514641530811787
110.0,-0.36,-0.10041135894043014,11.02570360925624,226.87145368838463,0.15146415308117867
115.0,-0.04999999999999999,-0.09789079099340864,11.319821256315064,236.3458434923575,1.1514641530811787
120.0,-0.19,-0.1024962514437382,12.319821256315064,247.23592149350915,1.2524402514100075
125.0,-0.1,-0.10237143887155128,12.456184892678701,256.99607077643543,0.2524402514100075
130.0,-0.17,-0.10575286692797373,13.350921734783965,267.8574288414608,1.1514641530811787
135.0,-0.34,-0.11746522358157503,15.350921734783965,276.4022441197894,1.0504880510270596
140.0,-0.25,-0.12409196240249627,15.417588401450631,282.84408305855305,0.050488051027059555
145.0,-0.01999999999999999,-0.11888736428237145,15.489016972879202,293.2737535554698,1.0504880510270596
150.0,-0.059999999999999984,-0.11594299606825288,15.864016972879202,305.47442818039946,1.100976102054119
155.0,1.3877787807814457e-17,-0.11014584626484024,15.864016972879202,317.6457773962324,0.20195220410823822
160.0,-0.019999999999999987,-0.10563855395159823,16.03068363954587,327.6153101014187,1.3029282987117767
165.0,-0.12999999999999998,-0.10685662625401832,17.03068363954587,337.5910987193672,1.2524402514100075
170.0,-0.05999999999999997,-0.10451379494131739,17.097350306212537,347.48102774831665,0.30292829871177673
175.0,-0.11999999999999997,-0.10528810519425152,17.897350306212537,356.28725688831855,1.3029282987117767
180.0,-0.36,-0.11802369993453894,20.147350306212537,364.80181942849293,1.3534163534641266
185.0,-0.28,-0.12612251493781199,20.209850306212537,373.11240704128113,0.2524402514100075
190.0,-0.12,-0.1258163891909214,20.915732659153715,382.7329364144655,1.0
195.0,-0.29,-0.1340255697313753,22.621615012094892,390.38651484400754,1.0504880510270596
200.0,-0.24,-0.13932429124480655,22.680438541506657,398.47187432150406,0.15146415308117867
205.0,-0.03,-0.13385807668256622,22.798085600330186,409.1658175611002,1.2019522041082382
210.0,-0.08,-0.1311651728484379,23.179037981282566,420.7724253231418,1.3029282987117767
215.0,-0.06,-0.127606914206016,23.296685040106095,430.83347779203126,0.20195220410823822
220.0,-0.11,-0.1267265684957152,24.08239932582038,440.2431632404019,1.100976102054119
225.0,-0.29,-0.13489024007092942,26.31316855658961,450.01787824666377,1.0504880510270596
230.0,-0.14,-0.13514572806738295,26.31316855658961,459.03904156135553,0.10097610205411911
235.0,-0.03,-0.1298884416640138,26.51316855658961,470.9468753582952,1.1514641530811787
240.0,-0.08,-0.12739401958081312,26.95761300103405,482.8612687513183,1.2019522041082382
245.0,-0.020000000000000004,-0.12202431860177246,27.062876158928788,493.18174924563965,0.20195220410823822
250.0,-0.15000000000000002,-0.12342310267168384,27.94522910010526,502.1904737774282,1.1514641530811787
255.0,-0.4,-0.13725194753809966,30.44522910010526,509.6347880088032,1.0504880510270596
260.0,-0.4,-0.1503893501611947,30.94522910010526,514.5944855234852,0.050488051027059555
265.0,-0.13,-0.14936988265313497,31.329844484720642,524.6112218749638,1.0504880510270596
270.0,-0.1,-0.1469013885204782,31.91807977883829,536.7488771136841,1.0504880510270596
275.0,0.0,-0.1395563190944543,31.91807977883829,548.5559997267115,0.10097610205411911
280.0,-0.05,-0.13507850313973158,32.275222635981144,557.7821451573395,1.100976102054119
285.0,-0.26,-0.141324577982745,34.00855596931448,564.2922180830591,1.100976102054119
290.0,-0.32,-0.15025834908360775,34.57105596931448,571.609343645313,0.10097610205411911
295.0,-0.10999999999999999,-0.14824543162942735,34.63772263598115,581.1260843142378,1.1514641530811787
300.0,-0.059999999999999984,-0.143833160047956,34.95351210966536,592.4144317405483,1.2524402514100075
305.0,-0.01999999999999999,-0.1376415020455582,35.0587752675601,603.4340652522244,0.2524402514100075
310.0,-0.09999999999999999,-0.13575942694328028,35.6837752675601,614.1665524445475,1.1514641530811787
